Y,X1,X2,X3,X4,X5
55.7,74.3,83.5,598.6,21.7,13.3
55.7,72.5,114,610,20.7,13.42
52.8,70.5,172.5,654.6,19.2,13.52
57.3,74.4,191.1,684.9,19.1,13.53
59.7,76.3,250.9,697.2,19.2,13.8
60.2,78.1,276.4,670.2,19.1,14.04
62.7,78.9,255.2,781.1,19.7,14.41
59.6,76,251.1,829.7,19.4,15.46
56.1,74,272.7,823.8,19.2,15.94
53.5,70.8,282.8,838.1,17.8,16.65
53.3,70.5,293.7,782.1,16.1,17.14
54.5,74.1,327.6,895.9,17.5,17.83
54,74,383.7,883.6,16.5,18.2
56.2,74.3,414,890.3,16.1,18.27
56.7,76.9,455.3,918.8,16.6,19.2
58.7,80.2,527,950.3,17.1,19.87
59.9,81.3,529.4,980.7,17.3,20.31
60.6,81.1,576.9,1029.1,17.8,21.02
60.2,81.1,612.6,996,17.7,21.69
60.2,82.1,618.8,997.5,17.8,21.68
60.6,83.9,610.3,945.4,18.2,21.04
60.9,85.6,640.4,1033.5,18.9,21.48
