censoring,days,visits,purchase,age,card
1,1,5,7,35,0
1,1,2,21,65,1
1,2,4,36,44,1
1,3,3,3,43,0
1,4,4,2,35,0
1,7,5,7,72,0
1,7,2,11,66,0
1,7,4,4,58,0
1,8,8,2,68,0
1,8,2,19,61,1
1,8,5,5,66,0
1,8,4,58,63,1
1,10,4,23,67,1
1,10,2,5,49,0
1,11,7,11,48,1
1,12,5,4,63,1
1,12,4,12,68,1
1,13,6,4,56,0
1,13,3,2,62,0
1,15,5,13,40,1
1,15,3,5,63,0
1,16,3,4,53,1
1,18,3,4,60,0
1,18,4,5,69,1
1,18,2,15,42,0
1,19,5,10,42,0
1,19,3,4,39,1
1,20,3,5,65,0
1,20,3,9,54,1
1,21,2,4,71,0
1,21,4,2,55,1
1,22,6,4,68,0
1,24,4,2,60,0
1,24,6,8,49,0
1,25,3,2,69,0
1,25,2,36,63,0
1,25,7,2,70,0
0,25,8,9,52,1
1,27,6,8,62,0
1,29,4,8,67,0
1,30,7,11,63,0
1,30,6,3,61,0
1,31,8,3,39,0
1,31,7,3,65,0
1,33,3,6,64,0
1,35,4,6,62,0
1,36,7,8,61,0
1,42,6,4,81,0
1,43,6,11,49,1
1,44,6,13,70,1
1,45,4,3,69,0
1,48,1,4,81,0
1,49,3,3,37,0
1,51,6,1,67,0
1,51,6,5,62,0
1,51,3,87,59,1
1,52,7,2,55,0
1,52,6,3,43,0
1,52,6,4,45,0
1,53,6,12,66,0
1,54,8,4,63,1
1,54,7,1,67,0
1,56,8,12,43,1
1,59,3,2,65,0
1,61,7,2,71,0
1,63,5,11,48,0
1,72,6,7,69,0
1,73,6,3,70,0
1,80,5,17,71,0
1,80,4,4,63,0
1,82,4,10,69,1
0,83,9,3,57,0
1,84,8,4,62,1
1,87,6,2,60,0
0,87,8,3,48,0
1,90,6,22,50,1
1,92,7,10,60,0
1,95,7,1,61,0
1,95,8,4,34,0
0,97,6,5,67,0
1,99,8,4,62,0
1,99,7,3,72,0
1,100,6,13,37,1
0,100,7,6,70,0
1,103,8,5,38,0
0,103,7,22,36,1
1,105,8,11,66,0
1,110,8,29,68,0
1,111,7,3,62,0
1,111,6,5,64,0
1,112,8,6,60,0
1,117,8,2,38,0
1,117,8,3,46,0
1,118,7,11,65,1
1,122,8,28,53,0
0,123,4,3,55,0
1,126,6,9,63,1
1,132,8,5,50,0
1,133,7,1,65,0
1,139,8,2,64,0
1,140,7,3,63,0
1,143,9,8,60,0
1,144,3,4,63,0
1,151,5,12,69,0
1,153,6,14,63,1
1,156,7,2,66,0
1,162,8,5,62,0
1,162,8,5,64,0
1,164,7,15,68,1
1,177,5,16,66,1
0,182,9,2,62,0
1,186,9,3,60,0
1,200,8,12,41,1
1,201,8,28,52,1
1,216,5,15,52,0
1,228,6,3,38,0
1,231,7,18,67,1
0,231,5,8,52,1
1,242,5,1,70,0
1,250,7,8,53,1
1,260,8,5,45,0
1,278,6,12,63,0
1,283,9,2,51,0
1,287,6,25,66,1
1,314,5,18,43,0
1,340,8,10,64,1
1,357,7,13,58,0
1,378,8,4,65,0
1,384,6,9,42,0
1,389,9,2,62,0
1,392,4,4,68,0
1,411,7,5,64,1
1,467,9,2,64,0
1,553,7,2,47,0
1,587,6,3,58,0
1,991,7,7,50,1
1,999,9,12,54,1
